Customer_ID,Nationality,customer_age,attitude_business_stability_environment,attitude_closure_concerned,compliance_income_tax,underinsurance_perception,insurance_unaffordability_perception,gross_income,operating_expense,business_sales,years_in_operation,"automotive_insurance
",mobile_wallet_access,current_problem_cash_flow,liquidity_constraint,Gender,extends_customer_credit,success_contentment,credit_card_ownership,financial_tracking,business_insurability_doubt,insurance_necessity_attitude,has_insurance,funding_access_barrier,referral_marketing,active_loan_holder,has_internet_banking,has_debit_card,inventory_shrinkage_risk,business_age_months,medical_insurance,funeral_insurance,uses_friends_family_savings,uses_informal_lender
ID_3CFL0U,Ghana,63,Yes,No,No,No,Yes,3000,6000,7000,14,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,Never had,Never had,Never had,,6,Never had,Used to have but don’t have now,Never had,Never had
ID_XWI7G3,Uganda,39,No,Yes,Yes,No,Yes,,,,15,Have now,Have now,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,Yes,,,,,,No,3,Never had,Never had,,
ID_TY93LV,Kenya,34,Don’t know or N/A,No,No,Don't know,Yes,30000,6000,13000,5,,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_9OP2C8,Kenya,28,Yes,No,No,No,No,180000,60000,30000,1,,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,No,No,Never had,Never had,Never had,No,,,,Never had,Have now
ID_13REYS,Uganda,43,Yes,No,No,Yes,Yes,50,2400,1800,3,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,,,,,,No,0,Never had,Never had,,
ID_57I1NI,DRC,39,Yes,No,No,Don't know,Yes,250,10,60,0,Never had,Have now,,,,,,,,,,,No,Yes,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_L3TKQV,DRC,25,Yes,Yes,No,No,No,10000,1350,3000,7,Never had,Have now,,,,,,,,,,,No,,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_KB700U,Ghana,44,Yes,Yes,No,Yes,Yes,14000,8500,15000,1,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,Yes,Yes,Never had,Never had,Never had,,0,Never had,Never had,Never had,Never had
ID_DUQI8U,Uganda,34,Yes,No,No,Yes,Yes,150,1680,3360,5,Never had,,,Yes,Female,No,Yes,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,,,,,,No,0,Never had,Have now,,
ID_27YH6U,Ghana,65,Yes,No,Yes,No,No,5000,9000,22000,20,Have now,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,Yes,,Yes,Never had,Never had,Have now,,5,Never had,Have now,Never had,Never had
ID_CBJS4T,Kenya,42,Yes,No,No,Don't know,Yes,1166000,7000000,14000000,10,,Have now,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,Yes,,,,,
ID_KJ6SZX,DRC,56,Yes,No,No,Don't know,No,5000,1000,5000,10,Never had,Have now,,,,,,,,,,,No,,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Used to have but don't have now,Used to have but don't have now
ID_DITN5K,Ghana,36,Yes,Yes,No,No,No,1500,1100,2500,3,Never had,Have now,0,Yes,Female,No,Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,,Used to have but don’t have now,Never had,Never had,,2,Never had,Never had,Never had,Never had
ID_RNUTPC,Uganda,41,Yes,No,No,No,Yes,200,2880,5400,4,Never had,,Yes,No,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,,,,,,No,9,Used to have but don't have now,Used to have but don't have now,,
ID_AMNJ8P,DRC,47,Yes,No,No,Don't know,Yes,13000,15000,140000,6,Never had,Have now,,,,,,,,,,,No,Yes,Have now,Have now,Have now,,,,,Used to have but don't have now,Used to have but don't have now
ID_LCUFVJ,Uganda,43,No,No,No,No,No,250,480,1080,4,Never had,,,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",No,Yes,Yes,,,,,,Yes,4,Never had,Never had,,
ID_P1KFV4,Uganda,32,Yes,Yes,Don’t know,No,Yes,350,,,6,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,No,No,,,,,,No,0,Never had,Never had,,
ID_GMTQ0H,Uganda,34,Yes,Yes,Don’t know,No,Yes,400,1800,2400,6,Have now,,,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know,Yes,No,,,,,,No,7,Never had,Never had,,
ID_TZK3NY,Ghana,31,Yes,No,No,No,Yes,2000,60000,83250,4,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,No,Yes,,Never had,Never had,Have now,,9,Never had,Never had,Have now,Never had
