Nationality,Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,survey_coverage,cluster
Ghana,Male,63.0,14.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,8.006700845440367,8.699681400989514,8.853808274977197,-0.6929805555491466,0.8125488767396274,3.0,0.0,1,0,1,1.0,Established_Veterans
Uganda,Male,39.0,15.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Yes,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - always,5.017279836814924,7.0909098220799835,8.006700845440367,-2.0736299852650593,0.557060784288724,2.5,3.333333333333333,1,0,1,0.5,Stable_Formal
Kenya,Male,34.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Never had,Yes - sometimes,Yes,No,10.308985993422082,8.699681400989514,9.472781556562168,1.6093045924325686,0.984359879726752,4.0,0.0,0,1,1,1.0,Large_Informal
Kenya,Female,28.0,1.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Have now,Never had,No,Have now,Yes - sometimes,No,No,12.100717685412471,11.002116507732017,10.308985993422082,1.0986011776804538,1.0700090788379173,2.0,0.0,1,0,1,1.0,Large_Informal
Uganda,Female,43.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.9318256327243257,7.783640596221253,7.496097345175956,-3.851814963496927,0.4627802004830839,2.5,0.0,1,0,1,0.5,High_Risk_Informal
DRC,Not Surveyed,39.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,5.5254529391317835,3.713572066704308,4.584967478670572,1.8118808724274755,0.9893437983719549,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
DRC,Not Surveyed,25.0,7.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,9.210440366976517,7.208600337960199,8.006700845440367,2.001840029016318,1.022620882499866,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Male,44.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,9.546884034617925,9.04793908261736,9.61587214452889,0.4989449520005653,0.8993028462139222,3.0,0.0,1,0,0,1.0,Large_Informal
Uganda,Female,34.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.017279836814924,7.427144133408616,8.119993827725105,-2.4098642965936916,0.5501407053108102,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Ghana,Male,65.0,20.0,Yes,Never had,Never had,Have now,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,8.517393171418904,9.105090961257085,9.99884318585288,-0.587697789838181,0.7743899087837065,3.0,3.0,1,0,0,1.0,Established_Veterans
Kenya,Female,42.0,10.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,No,Have now,Yes - sometimes,Yes,No,13.96909050352514,15.76142084987672,16.454567959008102,-1.79233034635158,0.8003114449083715,0.0,0.0,1,1,1,1.0,Large_Informal
DRC,Not Surveyed,56.0,10.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.517393171418904,6.90875477931522,8.517393171418904,1.6086383921036838,0.8949292120238304,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Female,36.0,3.0,No,Used to have but don't have now,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.313886831633462,7.00397413672268,7.824445930877619,0.309912694910782,0.8288210828105864,2.0,0.0,1,0,0,1.0,Large_Informal
Uganda,Male,41.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.303304908059076,7.9658927350845286,8.594339400592892,-2.662587827025453,0.552753523367263,2.5,0.0,1,0,0,0.5,High_Risk_Informal
DRC,Not Surveyed,47.0,6.0,Not Surveyed,Have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,9.472781556562168,9.61587214452889,11.849404844423074,-0.14309058796672147,0.7372155886794683,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
Uganda,Male,43.0,4.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,Yes,Yes - sometimes,5.5254529391317835,6.175867270105761,6.985641817639208,-0.6504143309739776,0.6919234627987949,5.0,1.6666666666666665,1,0,1,0.5,High_Risk_Informal
Uganda,Female,32.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.860786223465865,7.0909098220799835,8.006700845440367,-1.2301235986141181,0.6507139877342415,2.5,0.0,1,0,1,0.5,High_Risk_Informal
