Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,subcluster
Not Surveyed,39.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,5.5254529391317835,3.713572066704308,4.584967478670572,1.8118808724274755,0.9893437983719549,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
Not Surveyed,25.0,7.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,9.210440366976517,7.208600337960199,8.006700845440367,2.001840029016318,1.022620882499866,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
Not Surveyed,56.0,10.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.517393171418904,6.90875477931522,8.517393171418904,1.6086383921036838,0.8949292120238304,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
Not Surveyed,47.0,6.0,Not Surveyed,Have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,9.472781556562168,9.61587214452889,11.849404844423074,-0.14309058796672147,0.7372155886794683,1.25,3.333333333333333,2,1,0,Highly_Formal_Elite
Not Surveyed,25.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.2166061010848646,5.993961427306569,6.2166061010848646,0.22264467377829522,0.8614307077325903,1.25,1.6666666666666665,1,1,0,Small_Struggling
Not Surveyed,29.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Never had,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,8.517393171418904,6.68586094706836,7.313886831633462,1.8315322243505445,1.0244778818748317,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
Not Surveyed,59.0,2.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,3.713572066704308,4.2626798770413155,4.709530201312334,-0.5491078103370075,0.6504163978063807,1.25,1.6666666666666665,1,1,0,Small_Struggling
Not Surveyed,33.0,7.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.412054873292933,5.707110264748875,6.2166061010848646,2.704944608544057,1.1656524903068157,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
Not Surveyed,18.0,3.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,3.4339872044851463,4.2626798770413155,5.303304908059076,-0.8286926725561692,0.5447915426230817,1.25,1.6666666666666665,1,1,0,Small_Struggling
Not Surveyed,35.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.006700845440367,7.601402334583733,8.006700845440367,0.4052985108566336,0.8889715538285865,1.25,1.6666666666666665,1,1,0,Profitable_Mid_Formal
