Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,subcluster
Male,63.0,14.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,8.006700845440367,8.699681400989514,8.853808274977197,-0.6929805555491466,0.8125488767396274,3.0,0.0,1,0,1,Established_Formal
Male,44.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,9.546884034617925,9.04793908261736,9.61587214452889,0.4989449520005653,0.8993028462139222,3.0,0.0,1,0,0,Young_Mainstream
Male,65.0,20.0,Yes,Never had,Never had,Have now,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,8.517393171418904,9.105090961257085,9.99884318585288,-0.587697789838181,0.7743899087837065,3.0,3.0,1,0,0,Established_Formal
Female,36.0,3.0,No,Used to have but don't have now,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.313886831633462,7.00397413672268,7.824445930877619,0.309912694910782,0.8288210828105864,2.0,0.0,1,0,0,Young_Mainstream
Female,31.0,4.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Have now,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - always,7.601402334583733,11.002116507732017,11.32961541978256,-3.400714173148284,0.6165157692094332,3.0,1.0,0,0,1,Young_Mainstream
Male,36.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Used to have but don't have now,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.601402334583733,7.824445930877619,8.594339400592892,-0.22304359629388593,0.7922799076832738,2.0,0.0,1,0,1,Young_Mainstream
Male,32.0,0.0,No,Never had,Never had,Have now,Never had,No,Yes,No,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,8.853808274977197,5.993961427306569,5.5254529391317835,2.859846847670628,1.3568112983978096,2.0,1.0,0,0,1,Young_Mainstream
Female,40.0,1.0,No,Never had,Never had,Never had,Never had,Yes,No,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,6.2166061010848646,9.210440366976517,9.61587214452889,-2.9938342658916524,0.5855954194294551,2.0,1.0,0,0,0,Young_Mainstream
Female,41.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,7.824445930877619,9.078065332666364,10.950824090522445,-1.253619401788745,0.6547201993444758,3.0,0.0,0,0,1,Young_Mainstream
Female,76.0,30.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,No,8.006700845440367,10.596659732783579,11.407576060361786,-2.5899588873432116,0.645307415927854,2.0,1.0,1,0,0,Established_Formal
Male,39.0,7.0,No,Never had,Never had,Never had,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.496097345175956,6.803505257608338,7.496097345175956,0.6925920875676184,0.8822989003806795,3.0,1.0,1,0,0,Young_Mainstream
Male,36.0,0.0,No,Never had,Have now,Never had,Never had,No,Yes,Yes,Never had,Used to have but don't have now,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,9.61587214452889,11.407576060361786,11.561725152903833,-1.7917039158328958,0.7654897736960943,3.0,1.0,2,0,1,Young_Mainstream
