Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,subcluster
Male,34.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Never had,Yes - sometimes,Yes,No,10.308985993422082,8.699681400989514,9.472781556562168,1.6093045924325686,0.984359879726752,4.0,0.0,0,1,1,Young_Hustlers
Female,28.0,1.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Have now,Never had,No,Have now,Yes - sometimes,No,No,12.100717685412471,11.002116507732017,10.308985993422082,1.0986011776804538,1.0700090788379173,2.0,0.0,1,0,1,Young_Hustlers
Female,42.0,10.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,No,Have now,Yes - sometimes,Yes,No,13.96909050352514,15.76142084987672,16.454567959008102,-1.79233034635158,0.8003114449083715,0.0,0.0,1,1,1,Young_Hustlers
Female,28.0,12.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Never had,No,Yes,No,11.289794413577894,10.12667110305036,9.210440366976517,1.163123310527535,1.1057108222376302,1.0,0.0,0,1,0,Young_Hustlers
Male,51.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,Yes,Have now,Yes - sometimes,No,No,11.002116507732017,9.61587214452889,10.463131911491967,1.3862443632031276,0.9597827707715921,3.0,0.0,1,0,1,Mature_Informal
Female,35.0,5.0,No,Never had,Never had,Never had,Have now,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,Yes,Yes - always,12.765691290604371,12.04355959836804,16.118095750958314,0.7221316922363314,0.7457424865665747,1.0,0.0,1,1,1,Young_Hustlers
Male,37.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Used to have but don't have now,Yes - sometimes,Yes,No,13.45883704259595,12.73670383776449,15.943742382861155,0.7221332048314615,0.7943249335642499,2.0,0.0,0,1,1,Young_Hustlers
Male,20.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,Yes - always,12.388398368982115,14.416542997861878,14.873301199334291,-2.0281446288797635,0.7804550681304826,1.0,0.0,1,0,1,Young_Hustlers
Male,52.0,8.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,No,Never had,No,Yes,No,11.695255355062795,11.350418300109132,13.017005083966255,0.344837054953663,0.8343619257469443,0.0,0.0,0,1,0,Mature_Informal
Male,39.0,4.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,Yes,Yes - always,13.304686600863562,12.100717685412471,10.819798284210286,1.2039689154510906,1.125627212998795,2.0,0.0,0,1,0,Young_Hustlers
Female,29.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,Yes,No,10.819798284210286,11.289794413577894,11.695255355062795,-0.46999612936760826,0.852271024221298,4.0,0.0,1,1,1,Young_Hustlers
