Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,subcluster
Male,39.0,15.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Yes,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - always,5.017279836814924,7.0909098220799835,8.006700845440367,-2.0736299852650593,0.557060784288724,2.5,3.333333333333333,1,0,1,Emerging_Formal
Female,43.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.9318256327243257,7.783640596221253,7.496097345175956,-3.851814963496927,0.4627802004830839,2.5,0.0,1,0,1,Lower_Stress_Informal
Female,34.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.017279836814924,7.427144133408616,8.119993827725105,-2.4098642965936916,0.5501407053108102,5.0,0.0,1,0,0,Severely_Distressed
Male,41.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.303304908059076,7.9658927350845286,8.594339400592892,-2.662587827025453,0.552753523367263,2.5,0.0,1,0,0,Lower_Stress_Informal
Male,43.0,4.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,Yes,Yes - sometimes,5.5254529391317835,6.175867270105761,6.985641817639208,-0.6504143309739776,0.6919234627987949,5.0,1.6666666666666665,1,0,1,Emerging_Formal
Female,32.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.860786223465865,7.0909098220799835,8.006700845440367,-1.2301235986141181,0.6507139877342415,2.5,0.0,1,0,1,Lower_Stress_Informal
Female,34.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.993961427306569,7.496097345175956,7.783640596221253,-1.5021359178693867,0.682400578853965,2.5,0.0,1,0,1,Lower_Stress_Informal
Male,57.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - always,7.313886831633462,9.169622538697624,9.798182590890704,-1.855735707064162,0.6773257231085741,5.0,0.0,1,0,0,Severely_Distressed
Male,20.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,4.394449154672439,6.175867270105761,6.8679744089702925,-1.781418115433322,0.5585235698863381,5.0,0.0,1,1,1,Severely_Distressed
Male,28.0,7.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,5.017279836814924,7.273092595999522,7.783640596221253,-2.2558127591845976,0.5712073236436122,5.0,0.0,1,1,0,Severely_Distressed
